"","syw","state","startZip","endZip","miles","hours"
"1","7081032116312703","GA","31909 ","30328",117.9143784,1.78
"2","7081136215076364","GA","31907 ","30328",125.3401084,1.93
"3","7081265483012148","GA","31907 ","30328",125.3401084,1.93
"4","7081326152717852","GA","31907 ","30328",125.3401084,1.93
"5","7081326282547930","GA","31907 ","30328",125.3401084,1.93
"6","7081127562627743","GA","31906 ","30328",120.4049496,1.82527777777778
"7","7081325735780395","GA","31906 ","30328",120.4049496,1.82527777777778
"8","7081105119660607","GA","31820 ","30328",124.3129342,1.88305555555556
"9","7081235234318334","GA","31750 ","30328",188.1189076,3.0425
"10","7081027539590562","GA","31714 ","30328",180.771474,2.81277777777778
"11","7081081495966001","GA","31707 ","30328",200.7985746,3.175
"12","7081156009952307","GA","31701 ","30328",203.9006034,3.18277777777778
"13","7081227218499230","GA","31701 ","30328",203.9006034,3.18277777777778
"14","7081146459143606","GA","31637 ","30328",209.2800632,3.13944444444444
"15","7081021335521590","GA","31620 ","30328",220.047061,3.24277777777778
"16","7081017528621478","GA","31620 ","30328",220.047061,3.24277777777778
"17","7081293707405708","GA","31569 ","30328",346.1502486,5.15583333333333
"18","7081226881006231","GA","31558 ","30328",359.7464806,5.31055555555556
"19","7081084139776059","GA","31548 ","30328",310.9156258,5.06694444444444
"20","7081067531959407","GA","31548 ","30328",310.9156258,5.06694444444444
"21","7081283950764828","GA","31548 ","30328",310.9156258,5.06694444444444
"22","7081137585977579","GA","31548 ","30328",310.9156258,5.06694444444444
"23","7081097545963046","GA","31548 ","30328",310.9156258,5.06694444444444
"24","7081137573838775","GA","31548 ","30328",310.9156258,5.06694444444444
"25","7081275811195796","GA","31542 ","30328",274.1933714,4.49805555555556
"26","7081255252020711","GA","31539 ","30328",207.2922046,3.31555555555556
"27","7081270480781489","GA","31533 ","30328",217.9510788,3.565
"28","7081050222306823","GA","31533 ","30328",217.9510788,3.565
"29","7081021798626076","GA","31503 ","30328",256.9097518,4.26166666666667
"30","7081321513373909","GA","31419 ","30328",264.5871488,3.97194444444444
"31","7081037634859598","GA","31419 ","30328",264.5871488,3.97194444444444
"32","7081117591270748","GA","31419 ","30328",264.5871488,3.97194444444444
"33","7081112445304348","GA","31419 ","30328",264.5871488,3.97194444444444
"34","7081077594192036","GA","31419 ","30328",264.5871488,3.97194444444444
"35","7081276091465115","GA","31419 ","30328",264.5871488,3.97194444444444
"36","7081015669885191","GA","31415 ","30328",262.0742072,3.82944444444444
"37","7081037581492690","GA","31407 ","30328",265.7131256,3.905
"38","7081063462111639","GA","31406 ","30328",269.7416618,3.97361111111111
"39","7081187608679165","GA","31405 ","30328",262.4538826,3.89694444444444
"40","7081011047283597","GA","31401 ","30328",264.6175974,3.90972222222222
"41","7081117604873942","GA","31326 ","30328",257.8238312,3.90444444444444
"42","7081027535310742","GA","31326 ","30328",257.8238312,3.90444444444444
"43","7081077579355228","GA","31326 ","30328",257.8238312,3.90444444444444
"44","7081293397449586","GA","31324 ","30328",278.0709074,4.21944444444444
"45","7081010198985653","GA","31312 ","30328",250.6224266,3.84777777777778
"46","7081027529213506","GA","31305 ","30328",309.3322986,4.53472222222222
"47","7081193949179006","GA","31210 ","30328",93.2168354,1.49277777777778
"48","7081043642738196","GA","31205 ","30328",105.9524284,1.68222222222222
"49","7081077622237803","GA","31145 ","30328",13.1463384,0.296111111111111
"50","7081233251999250","GA","31093 ","30328",112.9959974,1.82777777777778
"51","7081097535295219","GA","31093 ","30328",112.9959974,1.82777777777778
"52","7081187603533078","GA","31093 ","30328",112.9959974,1.82777777777778
"53","7081126496256033","GA","31088 ","30328",120.6920364,1.93527777777778
"54","7081057518503294","GA","31088 ","30328",120.6920364,1.93527777777778
"55","7081074168190843","GA","31088 ","30328",120.6920364,1.93527777777778
"56","7081315910866382","GA","31088 ","30328",120.6920364,1.93527777777778
"57","7081031070648938","GA","31088 ","30328",120.6920364,1.93527777777778
"58","7081207214363341","GA","31088 ","30328",120.6920364,1.93527777777778
"59","7081042845066686","GA","31088 ","30328",120.6920364,1.93527777777778
"60","7081236790730557","GA","31088 ","30328",120.6920364,1.93527777777778
"61","7081107613340165","GA","31088 ","30328",120.6920364,1.93527777777778
"62","7081057515231998","GA","31088 ","30328",120.6920364,1.93527777777778
"63","7081126321724908","GA","31088 ","30328",120.6920364,1.93527777777778
"64","7081245414177848","GA","31088 ","30328",120.6920364,1.93527777777778
"65","7081256229863316","GA","31087 ","30328",118.6178032,1.95972222222222
"66","7081012428655049","GA","31087 ","30328",118.6178032,1.95972222222222
"67","7081300638841891","GA","31075 ","30328",159.2163508,2.48527777777778
"68","7081265151578875","GA","31069 ","30328",124.4471566,1.90527777777778
"69","7081137601896050","GA","31069 ","30328",124.4471566,1.90527777777778
"70","7081157581146557","GA","31069 ","30328",124.4471566,1.90527777777778
"71","7081087601136801","GA","31061 ","30328",110.056154,1.84666666666667
"72","7081127538252931","GA","31061 ","30328",110.056154,1.84666666666667
"73","7081225632167615","GA","31061 ","30328",110.056154,1.84666666666667
"74","7081225986153526","GA","31032 ","30328",103.7564008,1.72944444444444
"75","7081186496908710","GA","31021 ","30328",149.2938356,2.25916666666667
"76","7081087608990929","GA","31008 ","30328",111.6307816,1.76444444444444
"77","7081071016142844","GA","31006 ","30328",108.7953334,2.06944444444444
"78","7081133415376025","GA","30909 ","30328",153.9412862,2.27388888888889
"79","7081010329695676","GA","30907 ","30328",157.0482862,2.42833333333333
"80","7081265552258119","GA","30907 ","30328",157.0482862,2.42833333333333
"81","7081157630832009","GA","30907 ","30328",157.0482862,2.42833333333333
"82","7081187560199533","GA","30907 ","30328",157.0482862,2.42833333333333
"83","7081037592766181","GA","30901 ","30328",161.1308842,2.45277777777778
"84","7081067579084308","GA","30833 ","30328",146.5776962,2.43388888888889
"85","7081063759986305","GA","30815 ","30328",167.9109796,2.55388888888889
"86","7081093491021715","GA","30813 ","30328",148.1063402,2.24166666666667
"87","7081292452436413","GA","30813 ","30328",148.1063402,2.24166666666667
"88","7081022038949864","GA","30813 ","30328",148.1063402,2.24166666666667
"89","7081021991990337","GA","30809 ","30328",151.6700692,2.28055555555556
"90","7081191619401445","GA","30755 ","30328",91.1854788,1.43888888888889
"91","7081183668986731","GA","30755 ","30328",91.1854788,1.43888888888889
"92","7081077620456876","GA","30747 ","30328",83.565872,1.38638888888889
"93","7081077592072776","GA","30747 ","30328",83.565872,1.38638888888889
"94","7081073858472230","GA","30746 ","30328",75.6827916,1.21888888888889
"95","7081083826330923","GA","30746 ","30328",75.6827916,1.21888888888889
"96","7081014456455847","GA","30746 ","30328",75.6827916,1.21888888888889
"97","7081087588185672","GA","30743 ","30328",NA,NA
"98","7081247419833706","GA","30741 ","30328",106.3507458,1.67638888888889
"99","7081092254603289","GA","30741 ","30328",106.3507458,1.67638888888889
"100","7081216989837082","GA","30740 ","30328",90.957425,1.40861111111111
"101","7081147606723464","GA","30740 ","30328",90.957425,1.40861111111111
"102","7081144598240565","GA","30740 ","30328",90.957425,1.40861111111111
"103","7081121915354154","GA","30739 ","30328",99.1480984,1.6625
"104","7081173547455412","GA","30736 ","30328",97.5020098,1.46194444444444
"105","7081031906974870","GA","30735 ","30328",71.5566956,1.12638888888889
"106","7081035302761559","GA","30735 ","30328",71.5566956,1.12638888888889
"107","7081223787187397","GA","30735 ","30328",71.5566956,1.12638888888889
"108","7081157603976890","GA","30735 ","30328",71.5566956,1.12638888888889
"109","7081156885520020","GA","30735 ","30328",71.5566956,1.12638888888889
"110","7081181002109754","GA","30735 ","30328",71.5566956,1.12638888888889
"111","7081121157028912","GA","30734 ","30328",70.0373726,1.43416666666667
"112","7081113626551350","GA","30734 ","30328",70.0373726,1.43416666666667
"113","7081034421243011","GA","30733 ","30328",69.0257334,1.16
"114","7081241845664132","GA","30733 ","30328",69.0257334,1.16
"115","7081015561659454","GA","30733 ","30328",69.0257334,1.16
"116","7081146783934142","GA","30733 ","30328",69.0257334,1.16
"117","7081152260138066","GA","30733 ","30328",69.0257334,1.16
"118","7081071496899889","GA","30731 ","30328",102.0475508,1.92611111111111
"119","7081173822961233","GA","30728 ","30328",90.4366918,1.485
"120","7081130798019602","GA","30728 ","30328",90.4366918,1.485
"121","7081047563297850","GA","30721 ","30328",87.1786916,1.38333333333333
"122","7081136720478121","GA","30721 ","30328",87.1786916,1.38333333333333
"123","7081157601318780","GA","30721 ","30328",87.1786916,1.38333333333333
"124","7081283418684998","GA","30721 ","30328",87.1786916,1.38333333333333
"125","7081175713148580","GA","30721 ","30328",87.1786916,1.38333333333333
"126","7081302123306364","GA","30721 ","30328",87.1786916,1.38333333333333
"127","7081265232422846","GA","30721 ","30328",87.1786916,1.38333333333333
"128","7081020958334786","GA","30721 ","30328",87.1786916,1.38333333333333
"129","7081242107701778","GA","30721 ","30328",87.1786916,1.38333333333333
"130","7081197505971276","GA","30721 ","30328",87.1786916,1.38333333333333
"131","7081017527001268","GA","30721 ","30328",87.1786916,1.38333333333333
"132","7081197505483538","GA","30721 ","30328",87.1786916,1.38333333333333
"133","7081097512699037","GA","30721 ","30328",87.1786916,1.38333333333333
"134","7081017474299055","GA","30720 ","30328",83.410522,1.29
"135","7081027496308545","GA","30720 ","30328",83.410522,1.29
"136","7081137153363145","GA","30720 ","30328",83.410522,1.29
"137","7081136689932449","GA","30720 ","30328",83.410522,1.29
"138","7081167195797802","GA","30720 ","30328",83.410522,1.29
"139","7081073845426141","GA","30720 ","30328",83.410522,1.29
"140","7081294155031491","GA","30720 ","30328",83.410522,1.29
"141","7081121514478453","GA","30720 ","30328",83.410522,1.29
"142","7081246930155284","GA","30720 ","30328",83.410522,1.29
"143","7081121909532583","GA","30720 ","30328",83.410522,1.29
"144","7081145895149615","GA","30720 ","30328",83.410522,1.29
"145","7081057529090927","GA","30720 ","30328",83.410522,1.29
"146","7081031487349336","GA","30720 ","30328",83.410522,1.29
"147","7081077590252396","GA","30710 ","30328",100.949537,1.60722222222222
"148","7081037635288490","GA","30707 ","30328",107.0460924,1.88333333333333
"149","7081137581696058","GA","30706 ","30328",NA,NA
"150","7081136426094982","GA","30705 ","30328",76.342097,1.32666666666667
"151","7081111738512682","GA","30705 ","30328",76.342097,1.32666666666667
"152","7081121912934230","GA","30705 ","30328",76.342097,1.32666666666667
"153","7081024234920723","GA","30705 ","30328",76.342097,1.32666666666667
"154","7081230180588683","GA","30705 ","30328",76.342097,1.32666666666667
"155","7081315949257678","GA","30705 ","30328",76.342097,1.32666666666667
"156","7081293771081732","GA","30705 ","30328",76.342097,1.32666666666667
"157","7081127581148333","GA","30705 ","30328",76.342097,1.32666666666667
"158","7081146058228618","GA","30705 ","30328",76.342097,1.32666666666667
"159","7081244240089095","GA","30705 ","30328",76.342097,1.32666666666667
"160","7081124240199716","GA","30705 ","30328",76.342097,1.32666666666667
"161","7081052192345450","GA","30705 ","30328",76.342097,1.32666666666667
"162","7081140566714375","GA","30703 ","30328",63.3573226,1.04055555555556
"163","7081152260011099","GA","30703 ","30328",63.3573226,1.04055555555556
"164","7081160538422642","GA","30703 ","30328",63.3573226,1.04055555555556
"165","7081081989070682","GA","30703 ","30328",63.3573226,1.04055555555556
"166","7081145892857046","GA","30701 ","30328",64.5671884,1.05638888888889
"167","7081104229965832","GA","30701 ","30328",64.5671884,1.05638888888889
"168","7081037616108733","GA","30701 ","30328",64.5671884,1.05638888888889
"169","7081325817435454","GA","30701 ","30328",64.5671884,1.05638888888889
"170","7081014456379922","GA","30701 ","30328",64.5671884,1.05638888888889
"171","7081097568617917","GA","30701 ","30328",64.5671884,1.05638888888889
"172","7081083771771931","GA","30701 ","30328",64.5671884,1.05638888888889
"173","7081083772537364","GA","30701 ","30328",64.5671884,1.05638888888889
"174","7081234839933621","GA","30701 ","30328",64.5671884,1.05638888888889
"175","7081027524635562","GA","30701 ","30328",64.5671884,1.05638888888889
"176","7081132238663023","GA","30701 ","30328",64.5671884,1.05638888888889
